Names of family,Data in fieldbook,,Recent studies
and species,Original names written by Saint-Hilaire and number of collection,Traditional uses,correlated to traditional uses
AMARANTHACEAE,,,
"Gomphrena arborescens L.f. ( =G. officinalis Mart.) ,b ANACARDIACEAE","Perpetua, paratudo [B1-136]","Bitter root, used for the throat; anti-scorbutic",None
Anacardium humile A. St.-Hil.c.d,Caju do campo [B1-1756; C1- 854],Edible fruits,None
Schinus terebinthifolius Raddi.b.c.e,Aroeira/terebinthacee [A1-400; B1-279],Fresh leaves have a varnish odour; it is stated that the body swells when sleeping under the shade of the tree,"Presence of volatile oil (El-Massry et al., 2009; Bendaoud et al., 2010; Sallam et al., 2011)"
ANNONACEAE,,,
"Annona squamosa L., A.reticulata L., A. sylvatica A. St.-Hil., A. glabra L. (=A. palustris L.), A. cornifolia A. St.-Hil.e",Araticum/Annonée [B1-792],"The fruits are eaten, they are the size of a small apple (pomme de Reinette). There are several species","Nutritional value (Gupta et al., 2005)"
Duguetia furfuracea(A. St.-Hil.) Saff. (=Annona furfuracea A. St.-Hil.)d.f.b,Araticum/Annona furfuraceae [B1-1258],Edible fruits,None
Guatteria villosissima A. St-Hil.e.f,Pindaíba [B1-606],Light wood,None
Xylopia sericea A. St.-Hil.e APOCYNACEAE,Annonea [A1-668],Not described,Not applicable
Hancornia speciosa Gomesech,Mangabeira [B1-1395;B 1383bis. C1-793],Edible fruits,None
Himatanthus drasticus (Mart.) Plumelb,Tiborna [B1-1747bis; B1-18705°,"Roots used in the cerrado as a purgative, they are bitter and a little nauseating",None
Himatanthus lancifolius (Müll. Arg.) Woodson Mandevilla velame Pichon (=Macrosiphonia velame (A. St.-Hil.) Müll.,"Para tudo [D-42] Cha de General/Apocinaceae/ Echites vellame [C1-380; C1- 611(9)], Vellame [B1-202]","Bitter bark, used for fevers Decoction of leaves to treat indigestion and stomach troubles",None None
AQUIFOLIACEAE Ilex paraguariensis A. St.-Hil. c.d.g.b.,Erva de Mate ou Congonha/Ilex paraguariensis [D-384ter],Not described,Not applicable
"ARISTOLOCHIACEAE Aristolochia cymbifera Mart. & Zucc.e.c.d,b ASTERACEAE",Taro/Aristolochia cymbifera [B2- 327] Aristolochia [D-178],Leaves used in decoction to treat erysipelas,"Antimicrobial (Machado et al., 2005; Alviano et al., 2008)"
Achyrocline satureioides (Lam.) DC.e Ageratum fastigiatum (Gardner) R.M. King & H. Rob. e,Marcela/Borraginée [B1-1567] Matta pasto [B1-303],"For treating pain, used in the bath Flowers are viscous with a strong smell. Not grazed by cattle","Analgesic (Simões et al., 1988). Presence of volatile oil (Del-Vechio-Vieira et al., 2009a, 2009b; Gonçalves et al., 2011)"
"Baccharis genistelloides subsp. crispa (Spreng,) Joch. Muell. (=B. trimera (Less.) DC., B. crispa Spreng. e,c,d,b","Carqueja/Composé, Baccharis trimera [B1-492; D-69]","Whole plant is extremely bitter, more bitter than quinine and Gentian, used to treat intermittent fevers",None
Elephantopus mollis Kunth,"Herva montana, Herva collegio no Rio, Fumo Bravo, Susualha/ Composée [A1-186; D-737]",Often used for respiratory diseases,None
Melampodium sp.ed,"Puejo da Praia, Carapixu, Composée, Melampodium [A1- 164; B2-2209bis","It is bitter and used successfully as a febrifuge. Used for treatment of ""gallico""",None
Gymnanthemum amygdalinum (Delile) Sch. Bip. ex Walp. Vernonia condensata Baker)b,"Aça pece branco, Assa pece branco/Composée [B1-1598; B1- 1870ter",Pleasant odour. The same use as salsaparrilha and caju do campo for venereal disease,None
"BIGNONIACEAE Handroanthus ochraceus (Cham.) Mattosecc Jacaranda caroba (Vell.) DC. e,c,d,b BIXACEAE",Ipê mirim/Bignonia [B1-735] Caroba/Bignonia [B1-1841; C1- 506],"Flowers are sudorific, similar to caroba Whole plant used to treat venereal diseases",None None
Cochlospermum regium (Mart. ex Schrank) Pilg. e.c.a.f CANNABACEAE,Butua do Curvo [C1-604],"Decoction of the roots is used against internal pains, from kicking and other accidents",None
Celtis iguanaea (Jacq.) Sarg. CLUSIACEAE,Incenso mirim [B1 1877],Edible fruit said to be the size of a gooseberry,None
Garcinia gardneriana (Plach. & Triana) Zappib,Bacopari [B1-1648],"Edible yellow fruit the size of a lime, contains latex",None
Kielmeyera speciosa A. St.-Hil..b.b COMBRETACEAE,"Malva do campo, folha santa, pinhão/Gutiferée [C1-455]",Leaves are emollients and used in baths,None
Combretum laxum Jacq. (=C. bugi Cambess)e.f COMMELINACEAE,Bugi [B1-1844],Very pleasant odour,None
Commelina erecta [dd,Trapoeiraba/Pontederia Commelina [B1-714],Refreshing plant,None
